Matrix,Time(ns)
eris1176,209569
std1_Jac3_db,8.34147e+06
std1_Jac3,1.91435e+07
lp_wood1p,477635
jendrec1,1.12717e+06
lowThrust_5,2.17842e+06
hangGlider_4,1.72336e+06
brainpc2,2.06148e+06
hangGlider_3,998956
lowThrust_7,2.33346e+06
lowThrust_11,2.8203e+06
lowThrust_3,910651
lowThrust_6,2.56232e+06
lowThrust_12,2.75319e+06
hangGlider_5,1.81834e+06
Journals,215546
bloweybl,2.32361e+06
heart1,8.8764e+06
TSOPF_FS_b9_c6,1.77709e+06
Sieber,243428
case9,1.63763e+06
c-30,663481
vsp_c-30_data_data,1.47725e+06
c-32,652410
freeFlyingRobot_10,541686
freeFlyingRobot_11,543773
freeFlyingRobot_12,564001
lowThrust_10,2.43763e+06
lowThrust_13,2.80524e+06
lowThrust_4,1.8182e+06
lowThrust_8,2.38531e+06
lowThrust_9,2.41499e+06
lp_fit2p,1.01686e+06
nd12k,2.73055e+08
std1_Jac2_db,8.07087e+06
std1_Jac2,1.69896e+07
