Matrix,Time(ns)
eris1176,217273
std1_Jac3_db,7.51332e+06
std1_Jac3,1.80302e+07
lp_wood1p,438647
jendrec1,1.14564e+06
lowThrust_5,2.39899e+06
hangGlider_4,1.63314e+06
brainpc2,2.01158e+06
hangGlider_3,1.11549e+06
lowThrust_7,2.59984e+06
lowThrust_11,2.61496e+06
lowThrust_3,901783
lowThrust_6,2.43198e+06
lowThrust_12,2.81831e+06
hangGlider_5,1.94968e+06
Journals,204224
bloweybl,2.20398e+06
heart1,7.80211e+06
TSOPF_FS_b9_c6,1.65839e+06
Sieber,231149
case9,5.42853e+06
c-30,8.26115e+06
vsp_c-30_data_data,9.01578e+06
c-32,650286
freeFlyingRobot_10,563532
freeFlyingRobot_11,552320
freeFlyingRobot_12,567853
lowThrust_10,2.73724e+06
lowThrust_13,2.71318e+06
lowThrust_4,1.74272e+06
lowThrust_8,2.42404e+06
lowThrust_9,2.65786e+06
lp_fit2p,1.00686e+06
nd12k,2.61211e+08
std1_Jac2_db,7.35928e+06
std1_Jac2,1.74516e+07
