Matrix,Time(ns)
eris1176,34765
std1_Jac3_db,732322
std1_Jac3,2.05074e+06
lp_wood1p,47868
jendrec1,72833
lowThrust_5,216930
hangGlider_4,147965
brainpc2,161788
hangGlider_3,80144
lowThrust_7,227774
lowThrust_11,252709
lowThrust_3,74199
lowThrust_6,218892
lowThrust_12,336392
hangGlider_5,163860
Journals,29555
bloweybl,183329
heart1,896247
TSOPF_FS_b9_c6,143115
Sieber,25470
case9,139263
c-30,72160
vsp_c-30_data_data,146596
c-32,67624
freeFlyingRobot_10,63582
freeFlyingRobot_11,57468
freeFlyingRobot_12,59087
lowThrust_10,231465
lowThrust_13,237675
lowThrust_4,161733
lowThrust_8,231891
lowThrust_9,264486
lp_fit2p,75402
nd12k,3.343e+07
std1_Jac2_db,759640
std1_Jac2,1.83666e+06
