Matrix,Time(ns)
eris1176,8.07513e+06
std1_Jac3_db,7.21315e+06
std1_Jac3,1.80819e+07
lp_wood1p,487649
jendrec1,1.04312e+06
lowThrust_5,2.38003e+06
hangGlider_4,9.47028e+06
brainpc2,4.82455e+06
hangGlider_3,8.60575e+06
lowThrust_7,2.5066e+06
lowThrust_11,2.6163e+06
lowThrust_3,925400
lowThrust_6,2.48297e+06
lowThrust_12,2.56974e+06
hangGlider_5,1.95028e+06
Journals,209680
bloweybl,2.24406e+06
heart1,7.03621e+06
TSOPF_FS_b9_c6,1.80581e+06
Sieber,257051
case9,1.74609e+06
c-30,712266
vsp_c-30_data_data,1.54201e+06
c-32,672228
freeFlyingRobot_10,557914
freeFlyingRobot_11,559605
freeFlyingRobot_12,586509
lowThrust_10,2.68503e+06
lowThrust_13,2.69676e+06
lowThrust_4,1.90946e+06
lowThrust_8,2.54147e+06
lowThrust_9,2.5987e+06
lp_fit2p,1.00762e+06
nd12k,2.49776e+08
std1_Jac2_db,7.35318e+06
std1_Jac2,1.51439e+07
