Matrix_10000_10000_50_50_125_75_uniform,483,490,496,531,462
Matrix_10000_10000_50_50_125_50_uniform,1208,1164,1192,1173,1170
Matrix_10000_10000_50_50_125_40_uniform,1999,2009,1985,2939,2006
Matrix_10000_10000_50_50_125_20_uniform,7305,7246,7244,7273,7239
Matrix_10000_10000_50_50_125_30_uniform,4779,4752,4717,4707,4781
Matrix_10000_10000_50_50_125_10_uniform,8744,8729,8281,8255,8254
Matrix_10000_10000_50_50_250_20_uniform,15190,14092,14470,14075,15680
Matrix_10000_10000_50_50_250_40_uniform,5235,5162,5297,5173,5179
Matrix_10000_10000_50_50_250_10_uniform,16842,19677,14848,14698,15503
Matrix_10000_10000_50_50_375_0_uniform,2698,3346,2694,4012,2714
Matrix_10000_10000_50_50_250_99_uniform,219,205,211,200,214
Matrix_10000_10000_50_50_250_75_uniform,868,792,763,781,789
Matrix_10000_10000_50_50_375_20_uniform,21613,20893,20249,21340,21267
Matrix_10000_10000_50_50_250_50_uniform,2764,2699,2752,2779,2770
Matrix_10000_10000_50_50_250_30_uniform,11550,10742,9125,9090,10658
Matrix_10000_10000_50_50_250_0_uniform,1807,1756,1809,1816,1815
Matrix_10000_10000_50_50_500_50_uniform,8355,8751,8312,8301,8166
Matrix_10000_10000_50_50_500_20_uniform,25434,23957,26223,26235,25391
Matrix_10000_10000_50_50_500_10_uniform,25797,27103,26600,24676,25935
Matrix_10000_10000_50_50_500_0_uniform,3540,3494,3495,3488,3512
Matrix_10000_10000_50_50_375_40_uniform,13572,10056,12151,10176,10399
Matrix_10000_10000_50_50_500_99_uniform,221,239,231,247,236
Matrix_10000_10000_50_50_375_99_uniform,221,235,232,222,236
Matrix_10000_10000_50_50_375_75_uniform,1251,1214,1197,1229,1218
Matrix_10000_10000_50_50_375_50_uniform,4299,4134,4193,4350,4078
Matrix_10000_10000_50_50_375_30_uniform,14966,16093,15420,15675,15379
Matrix_10000_10000_50_50_375_10_uniform,22215,20771,22728,20752,21753
Matrix_10000_10000_50_50_500_75_uniform,2498,1559,1535,1543,1579
Matrix_10000_10000_50_50_500_40_uniform,13707,13752,13610,12921,13092
Matrix_10000_10000_50_50_500_30_uniform,19625,19286,19734,19999,19489
