Matrix,Time(ns)
lowThrust_8,135092
eris1176,69014
case9,105445
freeFlyingRobot_10,86652
freeFlyingRobot_11,72662
nd12k,1.31227e+07
std1_Jac3,467851
lp_wood1p,68568
jendrec1,86120
lowThrust_5,127952
Sieber,69967
hangGlider_4,141436
brainpc2,203349
hangGlider_3,118024
freeFlyingRobot_12,76875
lp_fit2p,85176
lowThrust_7,146517
std1_Jac2,479397
c-32,97388
TSOPF_FS_b9_c6,124225
c-30,74743
lowThrust_11,149754
lowThrust_3,76326
lowThrust_10,111449
lowThrust_6,108432
lowThrust_12,126166
hangGlider_5,169640
Journals,73115
lowThrust_4,107717
bloweybl,125485
lowThrust_9,123586
vsp_c-30_data_data,108078
lowThrust_13,211994
heart1,253560
