Matrix,Time(ns)
eris1176,7.08295e+06
std1_Jac3_db,394017
std1_Jac3,1.0453e+06
lp_wood1p,37014
jendrec1,53543
lowThrust_5,128733
hangGlider_4,85182
brainpc2,101572
hangGlider_3,56563
lowThrust_7,145293
lowThrust_11,224525
lowThrust_3,59907
lowThrust_6,137262
lowThrust_12,145123
hangGlider_5,89876
Journals,23442
bloweybl,103210
heart1,502305
TSOPF_FS_b9_c6,122809
Sieber,22477
case9,99759
c-30,49593
vsp_c-30_data_data,94542
c-32,48555
freeFlyingRobot_10,124050
freeFlyingRobot_11,127083
freeFlyingRobot_12,50866
lowThrust_10,236596
lowThrust_13,143274
lowThrust_4,103521
lowThrust_8,144233
lowThrust_9,140112
lp_fit2p,55904
nd12k,1.69719e+07
std1_Jac2_db,425087
std1_Jac2,1.00352e+06
