Matrix_10000_10000_50_50_125_75_uniform,41872,40966,41260,40708,41381
Matrix_10000_10000_50_50_125_50_uniform,73261,72847,75507,74146,74360
Matrix_10000_10000_50_50_125_40_uniform,91789,90649,92669,89954,92022
Matrix_10000_10000_50_50_125_20_uniform,132996,135176,134356,135257,132055
Matrix_10000_10000_50_50_125_30_uniform,114014,112061,112412,111138,111037
Matrix_10000_10000_50_50_125_10_uniform,138740,137749,139373,137999,136421
Matrix_10000_10000_50_50_250_20_uniform,273344,271674,268457,268773,269914
Matrix_10000_10000_50_50_250_40_uniform,185570,186675,186063,182321,185001
Matrix_10000_10000_50_50_250_10_uniform,279399,276861,277037,279665,280504
Matrix_10000_10000_50_50_375_0_uniform,66669,64834,64739,65061,66043
Matrix_10000_10000_50_50_250_99_uniform,3435,3340,3370,3479,3353
Matrix_10000_10000_50_50_250_75_uniform,84062,78465,79252,80242,80397
Matrix_10000_10000_50_50_375_20_uniform,412361,414308,411130,409699,409404
Matrix_10000_10000_50_50_250_50_uniform,151848,149304,148054,144556,145804
Matrix_10000_10000_50_50_250_30_uniform,229819,228918,226733,232236,233783
Matrix_10000_10000_50_50_250_0_uniform,44172,43281,44346,43457,43346
Matrix_10000_10000_50_50_500_50_uniform,284281,283734,286345,291157,292794
Matrix_10000_10000_50_50_500_20_uniform,557531,543082,555066,554730,551421
Matrix_10000_10000_50_50_500_10_uniform,567206,565417,565063,567857,550550
Matrix_10000_10000_50_50_500_0_uniform,84838,86072,86800,85709,84614
Matrix_10000_10000_50_50_375_40_uniform,279986,269172,273336,272389,271894
Matrix_10000_10000_50_50_500_99_uniform,6460,6379,6525,6400,6449
Matrix_10000_10000_50_50_375_99_uniform,4795,4847,4884,4973,4739
Matrix_10000_10000_50_50_375_75_uniform,116679,116683,114174,116872,117843
Matrix_10000_10000_50_50_375_50_uniform,214583,214736,215809,214437,217803
Matrix_10000_10000_50_50_375_30_uniform,340761,344452,344028,345284,345609
Matrix_10000_10000_50_50_375_10_uniform,421512,419234,417840,424677,420926
Matrix_10000_10000_50_50_500_75_uniform,157088,160873,155514,151418,156519
Matrix_10000_10000_50_50_500_40_uniform,362594,366416,361634,358609,365543
Matrix_10000_10000_50_50_500_30_uniform,465502,462037,458810,464166,457615
Matrix_10000_10000_50_50_25_75_uniform,8885,8869,8776,8860,8848
Matrix_10000_10000_50_50_25_20_uniform,26126,26025,27274,26016,25815
Matrix_10000_10000_50_50_25_40_uniform,19295,19350,19486,19359,19423
Matrix_10000_10000_50_50_25_99_uniform,1231,1356,1223,1271,1526
Matrix_10000_10000_50_50_25_50_uniform,15979,15771,16045,15877,15944
Matrix_10000_10000_50_50_25_30_uniform,22983,23273,23345,23448,23566
Matrix_10000_10000_50_50_25_0_uniform,5906,5749,5783,5764,5795
Matrix_10000_10000_50_50_25_10_uniform,25297,25753,25592,26370,25617
Matrix_10000_10000_50_50_125_99_uniform,1988,1963,2015,1994,2000
Matrix_10000_10000_50_50_125_0_uniform,23831,24133,24355,23940,24269
Matrix_10000_10000_50_100_750_30_uniform,352917,348020,342192,342660,344586
Matrix_10000_10000_50_100_750_20_uniform,407408,407207,405459,404919,408564
Matrix_10000_10000_50_100_1000_99_uniform,6462,6441,6470,6237,6968
Matrix_10000_10000_50_100_500_20_uniform,269154,270677,272178,270194,270906
Matrix_10000_10000_50_100_500_10_uniform,272679,277672,277733,278229,277230
Matrix_10000_10000_50_100_1000_75_uniform,158101,156450,155535,154252,153257
Matrix_10000_10000_50_100_500_30_uniform,229876,232992,226362,232949,232045
Matrix_10000_10000_50_100_500_0_uniform,43452,42998,44132,43942,43250
Matrix_10000_10000_50_100_1000_50_uniform,284559,286772,292562,289204,289059
Matrix_10000_10000_50_100_1000_40_uniform,365009,368788,368383,361101,369622
Matrix_10000_10000_50_100_750_75_uniform,121455,117081,117696,118493,118852
Matrix_10000_10000_50_100_750_99_uniform,4878,4828,4940,4924,4921
