Matrix,Time(ns)
eris1176,19052
std1_Jac3_db,256118
std1_Jac3,478704
lp_wood1p,6.69235e+06
jendrec1,137346
lowThrust_5,149785
hangGlider_4,132740
brainpc2,163910
hangGlider_3,132065
lowThrust_7,179792
lowThrust_11,178581
lowThrust_3,160441
lowThrust_6,144806
lowThrust_12,187259
hangGlider_5,119872
Journals,17094
bloweybl,59984
heart1,247768
TSOPF_FS_b9_c6,138423
Sieber,21336
case9,131526
c-30,3.88547e+06
vsp_c-30_data_data,4.01602e+06
c-32,3.89615e+06
freeFlyingRobot_10,3.90705e+06
freeFlyingRobot_11,3.92975e+06
freeFlyingRobot_12,3.87318e+06
lowThrust_10,184326
lowThrust_13,191507
lowThrust_4,177092
lowThrust_8,192155
lowThrust_9,148146
lp_fit2p,34290
nd12k,4.83508e+06
std1_Jac2_db,244790
std1_Jac2,419032
